<DATE>,<CLOSE>
2017.06.06,24.67
2017.06.07,24.97
2017.06.08,24.59
2017.06.09,24.19
2017.06.12,23.62
2017.06.13,23.87
2017.06.14,23.86
2017.06.16,23.95
2017.06.19,23.64
2017.06.20,22.65
2017.06.21,22.53
2017.06.22,22.65
2017.06.23,22.2
2017.06.26,23.5
2017.06.27,22.74
2017.06.28,22.99
2017.06.29,23.14
2017.06.30,23.35
2017.07.03,23.67
2017.07.04,23.79
2017.07.05,23.67
2017.07.06,23.51
2017.07.07,23.2
2017.07.10,23.44
2017.07.11,24.43
2017.07.12,25.13
2017.07.13,25.35
2017.07.14,25.62
2017.07.17,25.49
2017.07.18,25.51
2017.07.19,25.6
2017.07.20,25.82
2017.07.21,25.62
2017.07.24,25.33
2017.07.25,25.75
2017.07.26,25.13
2017.07.27,24.91
2017.07.28,24.88
2017.07.31,25.0
2017.08.01,25.53
2017.08.02,26.55
2017.08.03,26.73
2017.08.04,26.89
2017.08.07,27.31
2017.08.08,27.31
2017.08.09,26.81
2017.08.10,26.94
2017.08.11,26.92
2017.08.14,27.09
2017.08.15,26.96
2017.08.16,26.74
2017.08.17,26.27
2017.08.18,26.5
2017.08.21,26.85
2017.08.22,28.03
2017.08.23,28.05
2017.08.24,28.15
2017.08.25,28.04
2017.08.28,27.78
2017.08.29,27.59
2017.08.30,27.31
2017.08.31,26.9
2017.09.01,27.95
2017.09.04,27.9
2017.09.05,28.04
2017.09.06,28.71
2017.09.08,28.62
2017.09.11,29.65
2017.09.12,29.31
2017.09.13,29.49
2017.09.14,29.52
2017.09.15,29.95
2017.09.18,30.36
2017.09.19,30.32
2017.09.20,30.52
2017.09.21,31.19
2017.09.22,30.99
2017.09.25,30.55
2017.09.26,30.73
2017.09.27,30.57
2017.09.28,30.32
2017.09.29,30.64
2017.10.02,30.68
2017.10.03,31.93
2017.10.04,31.78
2017.10.05,32.3
2017.10.06,32.48
2017.10.09,32.12
2017.10.10,32.81
2017.10.11,32.84
2017.10.13,32.85
2017.10.16,32.92
2017.10.17,32.98
2017.10.18,32.86
2017.10.19,32.64
2017.10.20,32.93
2017.10.23,31.78
2017.10.24,32.07
2017.10.25,32.59
2017.10.26,32.19
